Start,Stop
1001300,1001425
1001503,1002291
1002635,1002709
1006962,1007633
1010871,1011077
1011481,1011561
1013475,1014527
1014706,1014774
1015153,1015608
1016087,1016941
1017582,1017788
1017870,1019438
1019545,1019970
1020259,1021383
1021486,1021569
1021634,1021723
1023009,1023302
1023493,1024680
1024918,1025010
1026376,1026855
1027526,1027750
1028969,1029025
1029301,1029378
1029965,1030756
1032924,1033190
1034688,1034741
1035021,1036055
1038863,1039096
1039297,1039749
1041029,1041382
1041446,1042561
1042806,1043033
1043992,1045014
1045352,1045855
1046022,1046771
1046886,1047377
1047490,1048185
1049263,1049499
1049983,1051041
1051341,1051676
1052044,1052109
1052509,1053429
1054962,1055147
1057761,1058531
1059887,1061275
1061727,1061780
1062108,1063064
1064069,1064524
1064578,1066377
1067063,1067662
1070801,1071367
1072231,1072398
1072524,1072685
1073146,1073568
1073660,1073800
1074324,1075325
1076989,1077543
1080095,1081072
1081183,1082817
1083185,1084225
1084853,1085806
1085980,1086078
1088941,1090362
1093060,1093773
1093965,1095803
1095975,1096835
1098812,1098988
1099318,1099458
1099776,1102706
1102858,1103757
1104740,1104829
1105118,1105864
1106044,1107759
1108797,1109663
1110002,1110151
1110769,1113627
1115647,1116513
1117093,1118079
1119031,1121022
1121101,1121808
1123309,1123389
1123665,1124078
1124484,1125467
1125761,1126495
1126704,1128194
1128890,1129030
1129412,1129816
1129954,1131501
1132861,1132920
1135292,1135351
1135524,1135631
1136015,1136284
1137029,1137400
1140010,1140087
1140430,1140693
1141471,1141560
1145645,1145749
1146076,1146177
1147575,1147730
1151559,1151711
1153010,1153783
1153848,1154204
1156065,1156235
1157868,1158008
1158566,1158844
1159490,1159543
1159709,1159771
1159873,1159962
1160223,1160753
1161051,1161230
1161410,1161484
1162100,1162207
1162995,1163147
1164145,1164252
1164518,1165960
1166028,1167608
1168027,1168368
1168993,1169541
1169981,1171621
1172947,1173003
1173540,1173665
1173706,1174122
1174250,1175605
1175671,1176156
1176304,1176654
1176777,1177091
1177143,1177865
1178214,1178273
1178525,1178731
1178955,1179167
1179843,1179932
1180879,1181088
1181338,1181625
1181720,1182421
1183039,1183101
1183156,1183233
1184142,1184801
1187192,1187539
1188014,1188289
1188949,1189788
1190023,1190079
1190438,1190539
1191060,1191542
1192974,1194092
1194353,1194445
1194799,1194867
1196097,1197182
1197247,1198047
1198637,1199776
1200060,1200632
1202008,1202082
1202171,1203592
1203634,1204998
1205472,1205585
1205922,1206575
1207111,1208571
1209821,1210462
1211869,1212990
1213340,1213426
1213636,1215087
1215481,1215594
1215992,1216084
1217453,1218178
1218493,1219122
1219178,1219240
1220149,1220904
1221133,1221210
1222062,1222811
1223173,1223829
1224548,1225300
1226131,1226781
1227400,1227486
1227556,1228266
1228669,1228746
1228994,1229290
1229967,1230773
1234465,1234776
1236172,1236246
1237934,1239013
1239585,1239797
1240358,1240681
1241048,1242100
1242664,1244508
1246342,1246485
1248892,1249344
1250600,1250698
1251974,1252030
1252509,1252568
1252667,1253341
1253510,1253578
1254088,1254171
1254231,1254287
1254459,1254722
1255043,1255264
1255357,1257069
1257260,1259449
1259530,1259841
1259917,1261728
1261916,1261969
1262652,1263131
1263462,1263530
1263871,1264629
1264808,1264891
1264982,1265074
1265392,1266003
1266445,1266564
1267115,1268473
1269834,1270433
1270758,1270832
1270967,1271062
1274271,1274363
1274883,1275542
1275959,1276153
1277726,1278025
1278741,1278863
1279255,1279377
1279552,1279611
1281321,1281773
1282167,1282358
1282473,1283393
1284470,1284544
1287376,1287591
1287710,1288243
1289188,1290126
1290241,1291524
1293088,1293654
1294360,1294902
1295741,1295830
1296007,1296084
1296171,1296557
1296691,1297551
1297823,1299901
1299964,1301268
1301331,1301402
1301551,1302453
1302570,1303013
1303774,1304436
1304905,1304970
1305339,1305758
1305850,1306092
1306890,1306967
1307763,1308170
1308351,1310318
1311086,1312774
1312857,1313324
1313657,1315435
1315767,1317563
1319677,1320375
1320608,1322284
1322410,1323327
1323450,1323683
1323794,1325017
1325916,1326236
1326440,1326808
1326876,1328213
1328609,1329652
1329698,1329793
1331018,1331347
1331534,1331605
1331813,1333807
1334028,1334267
1335660,1335737
1335811,1335951
1339236,1339376
1339474,1339533
1339743,1339841
1339890,1340036
1340320,1340877
1341107,1341865
1342473,1342667
1343351,1343824
1344036,1345100
1346851,1346904
1347827,1351285
1351964,1353082
1353374,1353673
1356327,1356671
1357753,1358697
1358834,1359103
1359352,1361523
1363826,1363975
1364031,1364570
1364770,1364841
1365717,1365806
1366220,1366432
1366550,1367425
1367718,1368650
1368863,1368928
1368974,1369033
1369659,1369730
1373015,1374103
1375437,1375496
1377597,1377800
1380007,1380561
1380720,1381187
1381285,1382565
1383007,1383393
1383489,1384343
1384692,1385714
1385912,1385968
1387014,1387214
1388089,1389210
1389351,1390031
1390222,1390671
1390791,1390880
1391436,1391531
1392014,1392385
1392514,1393380
1393517,1394584
1395181,1396026
1396346,1396399
1396765,1397046
1398077,1399327
1400074,1400796
1401343,1402359
1402550,1403230
1406366,1406713
1407406,1407489
1409508,1409996
1410148,1412421
1413646,1414719
1415254,1416693
1416962,1417738
1417843,1418685
1419620,1419703
1420076,1421362
1423255,1423833
1423902,1425146
1425419,1426465
1426766,1428328
1428442,1428939
1429765,1430127
1430333,1432819
1433148,1434644
1434937,1435209
1435635,1437866
1438255,1438689
1440950,1441006
1441313,1441540
1441581,1442114
1443986,1444042
1444229,1444285
1445543,1446358
1447119,1447220
1452146,1452799
1453294,1454310
1458188,1458250
1458654,1458776
1458980,1459126
1462355,1463467
1464683,1464742
1467980,1468114
1470083,1470163
1470832,1471026
1471511,1471696
1471878,1471946
1473313,1473408
1474802,1475908
1476224,1476301
1477667,1477762
1478088,1478180
1481857,1481919
1482767,1482841
1483549,1484544
1486000,1486245
1486928,1487011
1487331,1487471
1494864,1494920
1495221,1495850
1498742,1498948
1499178,1499231
1505845,1505964
1506412,1506513
1508710,1508766
1509252,1509455
1511382,1511513
1513917,1514171
1517261,1517356
1523964,1524104
1524154,1525962
1530727,1531353
1531935,1531991
1532954,1533034
1536498,1536644
1537815,1538501
1539266,1539937
1540016,1540225
1540744,1540836
1542286,1542351
1543674,1543757
1544056,1544115
1545768,1545866
1547734,1547865
1548034,1548456
1548701,1549906
1550152,1550289
1551057,1551110
1556032,1556109
1558842,1558901
1560691,1560870
1562108,1562347
1567160,1567222
1571151,1571231
1572798,1572851
1574914,1575093
1578560,1578736
1586987,1587079
1590376,1590456
1595535,1595612
1595686,1595742
1595819,1595887
1596280,1596366
1603903,1604010
1611141,1611224
1612025,1612174
1613809,1613871
1616145,1616453
1620154,1621188
1622583,1623047
1626876,1626956
1627812,1628615
1632915,1632971
1634099,1634170
1639120,1639722
1639964,1640041
1646669,1647781
1650226,1650291
1651552,1651707
1655644,1655721
1656173,1656484
1657466,1657534
1658125,1658268
1659580,1659705
1664575,1665405
1675562,1675633
1677409,1680009
1680132,1680560
1681561,1682628
1683019,1683207
1686120,1686221
1690750,1690839
1694771,1695028
1695520,1695606
1696280,1696888
1708312,1708518
1711672,1712637
1712706,1713209
1714959,1715126
1716267,1716338
1716858,1717160
1717800,1717949
1720622,1720720
1720877,1720966
1721226,1721345
1724196,1724462
1724611,1724712
1724780,1725565
1726125,1726250
1728162,1728302
1731775,1731903
1731955,1732893
1734440,1734526
1735914,1736030
1741011,1741073
1741777,1741857
1745553,1745690
1747480,1747542
1749239,1749337
1749878,1751176
1751304,1752371
1752636,1752689
1754446,1754526
1755142,1755282
1755342,1755470
1756355,1756414
1757474,1757566
1757771,1758673
1761950,1762042
1762200,1763165
1763941,1764843
1766542,1766619
1767104,1767214
1767846,1768490
1770286,1770369
1770851,1770913
1771772,1771894
1772178,1773410
1773514,1774773
1775466,1775582
1777014,1777082
1779831,1779965
1781696,1781773
1783071,1783127
1783762,1783893
1789107,1789235
1795681,1796925
1797698,1797880
1797975,1798727
1803921,1803986
1805752,1805928
1809835,1809900
1813693,1813758
1813814,1814011
1817764,1817922
1818302,1818388
1821285,1821341
1828117,1828239
1828968,1829042
1830209,1830277
1833074,1834480
1835044,1835109
1835966,1836031
1836750,1836848
1840185,1840250
1845031,1845141
1851474,1851611
1853401,1853463
1854976,1855521
1855568,1855933
1857856,1858611
1859991,1860068
1862423,1862893
1863726,1864217
1866120,1866194
1867126,1867323
1870130,1871758
1873884,1873973
1874041,1874529
1874828,1874890
1879983,1880120
1882324,1882398
1884318,1884545
1885312,1885488
1887109,1887204
1888148,1888270
1890951,1891139
1892599,1892712
1895081,1895179
1895802,1895873
1897953,1898153
1899967,1900032
1901124,1901240
1901590,1901667
1902283,1902414
1902740,1902859
1903913,1904113
1904221,1905864
1905963,1906043
1909248,1909424
1911494,1911682
1916161,1916448
1916939,1917028
1917069,1917188
1918363,1918593
1918681,1919505
1919655,1919708
1920523,1920624
1922439,1923809
1923925,1924113
1931672,1931743
1939999,1942638
1946562,1946657
1953513,1953713
1953836,1954237
1955643,1955732
1958218,1958376
1958536,1958589
1959642,1959713
1963424,1963507
1963852,1964457
1966898,1966972
1967261,1967404
1971337,1971546
1972805,1972867
1974482,1974538
1981774,1982640
1984056,1985192
1988159,1989802
1990976,1991032
1991245,1993326
1999396,1999557
2000940,2001035
2016460,2016612
2018689,2018808
2020406,2020549
2025097,2025198
2034693,2035517
2035690,2036505
2039358,2039510
2040274,2040933
2042714,2042953
2043272,2043346
2044331,2044402
2046163,2046261
2046910,2047032
2048344,2048634
2050639,2052114
2052233,2052664
2053391,2053471
2054938,2055102
2055466,2055555
2055633,2056187
2056274,2057926
2058516,2059511
2059669,2061207
2062263,2063651
2064513,2064602
2064820,2065506
2065698,2066417
2078605,2078685
2079132,2079398
2084134,2084193
2085702,2085812
2086171,2086236
2091747,2091866
2092671,2092850
2096684,2096770
2099256,2099342
2099395,2099451
2102608,2104062
2104255,2104359
2104827,2104904
2105550,2105693
2116069,2116248
2121607,2121669
2123377,2123502
2126663,2126851
2127299,2128876
2130551,2130652
2131158,2132330
2132412,2134652
2135134,2135190
2137596,2137673
2141071,2141814
2143470,2143550
2144106,2144228
2144874,2145065
2145127,2145513
2146617,2146676
2147496,2147549
2149998,2150120
2150243,2150554
2151744,2153696
2158526,2158624
2162503,2162574
2169531,2170526
2170822,2170893
2171796,2171900
2172710,2173591
2177376,2177504
2178526,2178585
2181329,2182216
2183934,2184101
2184277,2184405
2186054,2186338
2186394,2186831
2187663,2188424
2188967,2189563
2189881,2190402
2192379,2192609
2192693,2193448
2193645,2194412
2195554,2196339
2197267,2197728
2198710,2198763
2199762,2200190
2209896,2210021
2217465,2217953
2219048,2219167
2223043,2223204
2227412,2229154
2232740,2232796
2232973,2233029
2233150,2233791
2233867,2233953
2239701,2239757
2241189,2241251
2242543,2242611
2242736,2242834
2247040,2247111
2250431,2250820
2253455,2253535
2254557,2254847
2255908,2255979
2258697,2259260
2261329,2261412
2264972,2265112
2267150,2267215
2268287,2268382
2269737,2269916
2270348,2270458
2273095,2273262
2275349,2275441
2285442,2285561
2287518,2288513
2295205,2295279
2297338,2297679
2298097,2298210
2298802,2298882
2302726,2302845
2303103,2303201
2304680,2304835
2305180,2305602
2306177,2306716
2308454,2308549
2308847,2308921
2312084,2312137
2316526,2316645
2320906,2321775
2323049,2323123
2324548,2325408
2325642,2327402
2327461,2328330
2328719,2328796
2329327,2329389
2329731,2330921
2331026,2331079
2331163,2331231
2334003,2334569
2337786,2338406
2339611,2341071
2341862,2343013
2343858,2345150
2346941,2347285
2350175,2350240
2350488,2350541
2351863,2351931
2357041,2357145
2357229,2357363
2360435,2360713
2361275,2361376
2361897,2362274
2384809,2384931
2387339,2387404
2394172,2394261
2394486,2394761
2397294,2397491
2398703,2399161
2399542,2400243
2400610,2400666
2401575,2402366
2404274,2404354
2404541,2404597
2407128,2408453
2409281,2409346
2410468,2410560
2411152,2411238
2412283,2412354
2415436,2415525
2419318,2419770
2421874,2421984
2428683,2428946
2431570,2431638
2431688,2433211
2433296,2434618
2437078,2437152
2437670,2437816
2440494,2440631
2442672,2442734
2443741,2443902
2446747,2447913
2448052,2449155
2449353,2449835
2450092,2450271
2450437,2451798
2453576,2454349
2454692,2457103
2457320,2457379
2457512,2457859
2457909,2459336
2459819,2460106
2460150,2460683
2462062,2462124
2462611,2462667
2465419,2465493
2465630,2466625
2466713,2467342
2469093,2471915
2472089,2472325
2472438,2472938
2477475,2478224
2478692,2478898
2479536,2479658
2480325,2480528
2482577,2482660
2483082,2483216
2483524,2483577
2487261,2488337
2489638,2489772
2491363,2491455
2494735,2494887
2496292,2496495
2497411,2497464
2501306,2501470
2501602,2501709
2501980,2502051
2503254,2503316
2505425,2505835
2506448,2506567
2506872,2507189
